target,stop,horizon,n,avg,median,win_rate,target_rate,stop_rate,time_rate,profit_factor
3.0,-1.0,1440,103,-0.1110314369884571,-0.5291005291005346,25.24271844660194,8.737864077669903,41.74757281553398,49.51456310679612,0.777478733142071
2.0,-1.0,720,103,-0.11211629483464856,0.0,27.184466019417474,10.679611650485436,33.980582524271846,55.33980582524271,0.7378127333133133
0.8,-2.5,60,103,-0.112620284897836,0.0,16.50485436893204,6.796116504854369,2.912621359223301,90.29126213592234,0.42512127178953446
0.8,-2.5,180,103,-0.1165716315960079,0.0,23.300970873786408,11.650485436893204,3.8834951456310676,84.46601941747572,0.5121791995733423
1.2,-2.5,360,103,-0.11882484430002342,0.0,27.184466019417474,11.650485436893204,6.796116504854369,81.55339805825243,0.6229419605278931
2.5,-1.0,1440,103,-0.12109663719066853,-0.40322580645162365,26.21359223300971,10.679611650485436,40.77669902912621,48.54368932038835,0.7524908549973741
2.5,-1.2,720,103,-0.12163257322443713,0.0,27.184466019417474,9.70873786407767,31.06796116504854,59.22330097087378,0.7490250630087727
2.0,-1.0,1440,103,-0.1226260958952835,-0.35360678925034916,28.155339805825243,12.62135922330097,39.80582524271845,47.57281553398058,0.7425052816309247
3.0,-1.5,720,103,-0.12469367472356821,0.0,28.155339805825243,7.766990291262135,28.155339805825243,64.07766990291263,0.7764403683690504
0.8,-2.0,360,103,-0.1258374974644636,0.0,27.184466019417474,14.563106796116504,7.766990291262135,77.66990291262135,0.5462206685526891
1.8,-1.0,720,103,-0.13347551813561945,0.0,27.184466019417474,10.679611650485436,33.980582524271846,55.33980582524271,0.6878635588057959
1.0,-0.8,720,103,-0.1369292365427721,0.0,28.155339805825243,15.53398058252427,37.86407766990291,46.601941747572816,0.6080362275326644
1.0,-0.8,1440,103,-0.1399073036211863,-0.2035278154681186,30.097087378640776,21.35922330097087,42.71844660194174,35.92233009708738,0.6395901722439647
1.0,-2.5,360,103,-0.14212581517380982,0.0,27.184466019417474,11.650485436893204,6.796116504854369,81.55339805825243,0.5490027229280267
1.5,-1.0,1440,103,-0.14248728638563068,-0.11627906976744429,30.097087378640776,15.53398058252427,38.83495145631068,45.63106796116505,0.6911728403255503
1.5,-1.0,720,103,-0.14494012723181254,0.0,28.155339805825243,13.592233009708737,33.980582524271846,52.42718446601942,0.6549325520926047
2.0,-1.2,720,103,-0.14639508159144365,0.0,28.155339805825243,11.650485436893204,31.06796116504854,57.28155339805825,0.6958437662979933
1.8,-1.0,1440,103,-0.14786881434188542,-0.35360678925034916,28.155339805825243,12.62135922330097,39.80582524271845,47.57281553398058,0.6894997070032519
3.0,-1.2,1440,103,-0.15480030564372754,-0.40322580645162365,26.21359223300971,8.737864077669903,39.80582524271845,51.45631067961165,0.7281397026183533
0.8,-2.5,360,103,-0.16366435313616562,0.0,27.184466019417474,14.563106796116504,6.796116504854369,78.64077669902912,0.48065608258507103
1.2,-1.0,1440,103,-0.16464577898531263,-0.10593220338984688,31.06796116504854,19.41747572815534,37.86407766990291,42.71844660194174,0.6354759068003181
2.5,-1.2,1440,103,-0.16532427038237332,-0.35360678925034916,27.184466019417474,11.650485436893204,38.83495145631068,49.51456310679612,0.7035928527930413
1.2,-1.0,720,103,-0.16549860351000178,0.0,29.126213592233007,15.53398058252427,33.00970873786408,51.45631067961165,0.5966650345914766
0.8,-0.8,720,103,-0.16623476479639,0.0,28.155339805825243,18.446601941747574,37.86407766990291,43.689320388349515,0.5241483325990788
1.8,-1.2,720,103,-0.16969605246523004,0.0,28.155339805825243,11.650485436893204,31.06796116504854,57.28155339805825,0.6474327441138622
2.0,-1.2,1440,103,-0.1697663504462116,-0.2035278154681186,29.126213592233007,13.592233009708737,37.86407766990291,48.54368932038835,0.6872311465868446
2.5,-1.5,720,103,-0.17048512800248675,0.0,28.155339805825243,10.679611650485436,28.155339805825243,61.165048543689316,0.6943422150378937
0.8,-0.8,1440,103,-0.17507938837139586,-0.2035278154681186,31.06796116504854,24.271844660194176,42.71844660194174,33.00970873786408,0.5489847164990217
1.5,-1.2,720,103,-0.18407328292064648,0.0,29.126213592233007,14.563106796116504,31.06796116504854,54.36893203883495,0.6114387822393819
1.5,-1.2,1440,103,-0.1925401622957821,-0.10593220338984688,31.06796116504854,16.50485436893204,36.89320388349515,46.601941747572816,0.6339526462571888
1.0,-1.0,720,103,-0.19656656467505032,0.0,29.126213592233007,15.53398058252427,33.00970873786408,51.45631067961165,0.5209496220377935
1.8,-1.2,1440,103,-0.19695081646562906,-0.2035278154681186,29.126213592233007,13.592233009708737,37.86407766990291,48.54368932038835,0.6371478748124657
2.0,-1.5,720,103,-0.20010200530153202,0.0,29.126213592233007,12.62135922330097,28.155339805825243,59.22330097087378,0.6390915609420897
1.0,-1.0,1440,103,-0.20204450010542147,-0.10593220338984688,31.06796116504854,21.35922330097087,37.86407766990291,40.77669902912621,0.5526755156384433
1.2,-1.2,720,103,-0.20560263298524345,0.0,30.097087378640776,16.50485436893204,30.097087378640776,53.398058252427184,0.5550496753172931
1.2,-1.2,1440,103,-0.21566952868187175,0.0,32.038834951456316,20.388349514563107,35.92233009708738,43.689320388349515,0.5806929396101608
3.0,-1.5,1440,103,-0.225012083722748,-0.35360678925034916,27.184466019417474,9.70873786407767,36.89320388349515,53.398058252427184,0.6635329398997709
1.8,-1.5,720,103,-0.22534472374813402,0.0,29.126213592233007,12.62135922330097,28.155339805825243,59.22330097087378,0.593563231036484
0.8,-1.0,720,103,-0.22587209292866822,0.0,29.126213592233007,18.446601941747574,33.00970873786408,48.54368932038835,0.4495294168290097
